residue,max_run_1s,max_run_0s,hamming_weight,alternation_score,trailing_ones,trailing_zeros_3n1,mod_3,mod_9,mod_27,bit_entropy,avg_odd_mult,leading_ones,leading_zeros,trailing_zeros,longest_alternating_run,block_count,run_length_entropy,binary_compressibility,max_run_0s_dup,count,avg_steps,avg_peak,avg_v2
1,1.0000,5.0000,1.0000,1.0000,1.0000,2.0000,1.0000,1.0000,1.0000,0.6500,0.9234,0.0000,5.0000,0.0000,2.0000,2.0000,0.6500,3.0000,5.0000,15625,87.8268,1929861.2516,0.0000
3,2.0000,4.0000,2.0000,1.0000,2.0000,1.0000,0.0000,3.0000,3.0000,0.9183,0.9446,0.0000,4.0000,0.0000,2.0000,2.0000,0.9183,3.0000,4.0000,15625,88.0981,2100019.3393,0.0000
5,1.0000,3.0000,2.0000,3.0000,1.0000,4.0000,2.0000,5.0000,5.0000,0.9183,0.8991,0.0000,3.0000,0.0000,4.0000,4.0000,1.7925,1.5000,3.0000,15625,80.6384,802453.8888,0.0000
7,3.0000,3.0000,3.0000,1.0000,3.0000,1.0000,1.0000,7.0000,7.0000,1.0000,0.9674,0.0000,3.0000,0.0000,2.0000,2.0000,1.0000,3.0000,3.0000,15625,95.6652,3300753.1434,0.0000
9,1.0000,2.0000,2.0000,3.0000,1.0000,2.0000,0.0000,0.0000,9.0000,0.9183,0.9675,0.0000,2.0000,0.0000,3.0000,4.0000,1.9183,1.5000,2.0000,15625,95.4438,3031662.0406,0.0000
11,2.0000,2.0000,3.0000,3.0000,2.0000,1.0000,2.0000,2.0000,11.0000,1.0000,0.9403,0.0000,2.0000,0.0000,4.0000,4.0000,1.9183,1.5000,2.0000,15625,88.1304,1544956.8487,0.0000
13,2.0000,2.0000,3.0000,3.0000,1.0000,3.0000,1.0000,4.0000,13.0000,1.0000,0.8966,0.0000,2.0000,0.0000,3.0000,4.0000,1.9183,1.5000,2.0000,15625,80.4049,709160.4949,0.0000
15,4.0000,2.0000,4.0000,1.0000,4.0000,1.0000,0.0000,6.0000,15.0000,0.9183,0.9804,0.0000,2.0000,0.0000,2.0000,2.0000,0.9183,3.0000,2.0000,15625,95.2945,4219749.2685,0.0000
17,1.0000,3.0000,2.0000,3.0000,1.0000,2.0000,2.0000,8.0000,17.0000,0.9183,0.9274,0.0000,1.0000,0.0000,3.0000,4.0000,1.7925,1.5000,3.0000,15625,87.9391,1291876.3807,0.0000
19,2.0000,2.0000,3.0000,3.0000,2.0000,1.0000,1.0000,1.0000,19.0000,1.0000,0.9703,0.0000,1.0000,0.0000,3.0000,4.0000,1.9183,1.5000,2.0000,15625,95.4877,3952253.6682,0.0000
21,1.0000,1.0000,3.0000,5.0000,1.0000,6.0000,0.0000,3.0000,21.0000,1.0000,0.8899,0.0000,1.0000,0.0000,6.0000,6.0000,2.5850,1.0000,1.0000,15625,72.7898,529728.0587,0.0000
23,3.0000,1.0000,4.0000,3.0000,3.0000,1.0000,2.0000,5.0000,23.0000,0.9183,0.9595,0.0000,1.0000,0.0000,4.0000,4.0000,1.7925,1.5000,1.0000,15625,88.1892,1723574.7114,0.0000
25,2.0000,2.0000,3.0000,3.0000,1.0000,2.0000,1.0000,7.0000,25.0000,1.0000,0.9397,0.0000,1.0000,0.0000,2.0000,4.0000,1.9183,1.5000,2.0000,15625,87.9122,1617864.2054,0.0000
27,2.0000,1.0000,4.0000,3.0000,2.0000,1.0000,0.0000,0.0000,0.0000,0.9183,0.9933,0.0000,1.0000,0.0000,3.0000,4.0000,1.9183,1.5000,1.0000,15625,102.3497,8871822.4945,0.0000
29,3.0000,1.0000,4.0000,3.0000,1.0000,3.0000,2.0000,2.0000,2.0000,0.9183,0.9350,0.0000,1.0000,0.0000,3.0000,4.0000,1.7925,1.5000,1.0000,15625,87.7630,1226803.1051,0.0000
31,5.0000,1.0000,5.0000,1.0000,5.0000,1.0000,1.0000,4.0000,4.0000,0.6500,1.0003,0.0000,1.0000,0.0000,2.0000,2.0000,0.6500,3.0000,1.0000,15625,102.8602,9618961.9027,0.0000
33,1.0000,4.0000,2.0000,2.0000,1.0000,2.0000,0.0000,6.0000,6.0000,0.9183,0.9605,1.0000,0.0000,0.0000,2.0000,3.0000,1.2516,2.0000,4.0000,15625,95.5892,4241123.7796,0.0000
35,2.0000,3.0000,3.0000,2.0000,2.0000,1.0000,2.0000,8.0000,8.0000,1.0000,0.9306,1.0000,0.0000,0.0000,2.0000,3.0000,1.4591,2.0000,3.0000,15625,80.3513,876878.7851,0.0000
37,1.0000,2.0000,3.0000,4.0000,1.0000,4.0000,1.0000,1.0000,10.0000,1.0000,0.9440,1.0000,0.0000,0.0000,4.0000,5.0000,2.2516,1.2000,2.0000,15625,87.8204,1655970.0066,0.0000
39,3.0000,2.0000,4.0000,2.0000,3.0000,1.0000,0.0000,3.0000,12.0000,0.9183,0.9929,1.0000,0.0000,0.0000,2.0000,3.0000,1.4591,2.0000,2.0000,15625,102.4388,9293973.5135,0.0000
41,1.0000,2.0000,3.0000,4.0000,1.0000,2.0000,2.0000,5.0000,14.0000,1.0000,0.9936,1.0000,0.0000,0.0000,4.0000,5.0000,2.2516,1.2000,2.0000,15625,102.9034,11976498.7664,0.0000
43,2.0000,1.0000,4.0000,4.0000,2.0000,1.0000,1.0000,7.0000,16.0000,0.9183,0.9598,1.0000,0.0000,0.0000,5.0000,5.0000,2.2516,1.2000,1.0000,15625,95.5569,3687707.2753,0.0000
45,2.0000,1.0000,4.0000,4.0000,1.0000,3.0000,0.0000,0.0000,18.0000,0.9183,0.9271,1.0000,0.0000,0.0000,3.0000,5.0000,2.2516,1.2000,1.0000,15625,87.7292,1282026.0890,0.0000
47,4.0000,1.0000,5.0000,2.0000,4.0000,1.0000,2.0000,2.0000,20.0000,0.6500,0.9937,1.0000,0.0000,0.0000,3.0000,3.0000,1.2516,2.0000,1.0000,15625,102.7724,9783685.7037,0.0000
49,2.0000,3.0000,3.0000,2.0000,1.0000,2.0000,1.0000,4.0000,22.0000,1.0000,0.9044,2.0000,0.0000,0.0000,2.0000,3.0000,1.4591,2.0000,3.0000,15625,80.0521,698384.7304,0.0000
51,2.0000,2.0000,4.0000,2.0000,2.0000,1.0000,0.0000,6.0000,24.0000,0.9183,0.9354,2.0000,0.0000,0.0000,2.0000,3.0000,1.5850,2.0000,2.0000,15625,87.9267,1391832.7437,0.0000
53,2.0000,1.0000,4.0000,4.0000,1.0000,5.0000,2.0000,8.0000,26.0000,0.9183,0.9093,2.0000,0.0000,0.0000,5.0000,5.0000,2.2516,1.2000,1.0000,15625,79.8097,627298.6146,0.0000
55,3.0000,1.0000,5.0000,2.0000,3.0000,1.0000,1.0000,1.0000,1.0000,0.6500,0.9692,2.0000,0.0000,0.0000,3.0000,3.0000,1.4591,2.0000,1.0000,15625,95.0099,4032590.6323,0.0000
57,3.0000,2.0000,4.0000,2.0000,1.0000,2.0000,0.0000,3.0000,3.0000,0.9183,0.9597,3.0000,0.0000,0.0000,2.0000,3.0000,1.4591,2.0000,2.0000,15625,95.2255,3353332.3111,0.0000
59,3.0000,1.0000,5.0000,2.0000,2.0000,1.0000,2.0000,5.0000,5.0000,0.6500,0.9668,3.0000,0.0000,0.0000,3.0000,3.0000,1.4591,2.0000,1.0000,15625,95.2364,4017371.2116,0.0000
61,4.0000,1.0000,5.0000,2.0000,1.0000,3.0000,1.0000,7.0000,7.0000,0.6500,0.9698,4.0000,0.0000,0.0000,3.0000,3.0000,1.2516,2.0000,1.0000,15625,95.2858,3725485.7688,0.0000
63,6.0000,0.0000,6.0000,0.0000,6.0000,1.0000,0.0000,0.0000,9.0000,0.0000,1.0210,6.0000,0.0000,0.0000,1.0000,1.0000,0.0000,6.0000,0.0000,15625,110.9068,33273289.4388,0.0000
