residue,count,avg_steps,avg_v2,avg_log_drift,avg_odd_mult,theoretical_drift
1137,24414,88.2711,2.4133,-0.5742,0.9057,-0.2877
1139,24414,119.2105,2.0716,-0.3373,0.9530,-0.2877
1141,24414,111.2291,2.1297,-0.3776,0.9452,-0.2877
1143,24414,111.2351,2.1288,-0.3769,0.9454,-0.2877
1145,24414,126.1339,2.0311,-0.3092,0.9771,-0.2877
1147,24414,118.6718,2.0751,-0.3398,0.9572,-0.2877
1149,24414,118.8686,2.0738,-0.3388,0.9675,-0.2877
1151,24414,141.9175,1.9611,-0.2607,1.0165,-0.2877
1153,24414,126.1835,2.0304,-0.3087,0.9722,-0.2877
1155,24414,103.5961,2.1991,-0.4257,0.9203,-0.2877
1157,24414,103.5961,2.1991,-0.4257,0.9255,-0.2877
1159,24414,126.3210,2.0308,-0.3090,0.9897,-0.2877
1161,24414,141.8146,1.9621,-0.2614,1.0159,-0.2877
1163,24414,119.2333,2.0734,-0.3386,0.9575,-0.2877
1165,24414,103.6754,2.1969,-0.4242,0.9167,-0.2877
1167,24414,118.8541,2.0746,-0.3394,0.9789,-0.2877
1169,24414,118.4430,2.0755,-0.3400,0.9571,-0.2877
1171,24414,118.4430,2.0755,-0.3400,0.9647,-0.2877
1173,24414,103.6754,2.1969,-0.4242,0.9448,-0.2877
1175,24414,103.6754,2.1969,-0.4242,0.9621,-0.2877
1177,24414,111.1593,2.1296,-0.3775,0.9355,-0.2877
1179,24414,134.2123,1.9923,-0.2823,0.9964,-0.2877
1181,24414,118.8351,2.0756,-0.3401,0.9593,-0.2877
1183,24414,141.4811,1.9623,-0.2615,1.0198,-0.2877
1185,24414,134.3117,1.9928,-0.2827,0.9964,-0.2877
1187,24414,118.4980,2.0755,-0.3400,0.9760,-0.2877
1189,24414,118.4980,2.0755,-0.3400,0.9784,-0.2877
1191,24414,133.9464,1.9938,-0.2834,1.0004,-0.2877
1193,24414,134.2515,1.9930,-0.2828,1.0090,-0.2877
1195,24414,110.9613,2.1302,-0.3779,0.9410,-0.2877
1197,24414,110.9555,2.1306,-0.3782,0.9262,-0.2877
1199,24414,126.3508,2.0305,-0.3088,0.9838,-0.2877
1201,24414,118.5976,2.0748,-0.3395,0.9631,-0.2877
1203,24414,118.5976,2.0748,-0.3395,0.9707,-0.2877
1205,24414,96.0600,2.2881,-0.4874,0.8973,-0.2877
1207,24414,125.9803,2.0319,-0.3098,0.9834,-0.2877
1209,24414,126.2441,2.0302,-0.3086,0.9792,-0.2877
1211,24414,133.9778,1.9932,-0.2829,1.0024,-0.2877
1213,24414,118.8072,2.0745,-0.3393,0.9574,-0.2877
1215,24414,133.9395,1.9941,-0.2836,1.0019,-0.2877
1217,24414,112.0313,2.1229,-0.3729,0.9268,-0.2877
1219,24414,112.0313,2.1229,-0.3729,0.9646,-0.2877
1221,24414,103.5549,2.1995,-0.4260,0.9204,-0.2877
1223,24414,119.5448,2.0698,-0.3361,0.9593,-0.2877
1225,24414,111.6173,2.1267,-0.3755,0.9621,-0.2877
1227,24414,111.6173,2.1267,-0.3755,0.9492,-0.2877
1229,24414,103.5549,2.1995,-0.4260,0.9013,-0.2877
1231,24414,126.8244,2.0280,-0.3071,0.9943,-0.2877
1233,24414,126.3280,2.0297,-0.3083,0.9795,-0.2877
1235,24414,126.3280,2.0297,-0.3083,0.9864,-0.2877
1237,24414,95.8835,2.2886,-0.4877,0.9086,-0.2877
1239,24414,119.0845,2.0732,-0.3384,0.9694,-0.2877
1241,24414,111.2340,2.1295,-0.3774,0.9517,-0.2877
1243,24414,119.1612,2.0734,-0.3386,0.9682,-0.2877
1245,24414,118.8285,2.0735,-0.3386,0.9653,-0.2877
1247,24414,126.6417,2.0284,-0.3074,0.9849,-0.2877
1249,24414,133.8269,1.9944,-0.2838,1.0003,-0.2877
1251,24414,95.8835,2.2886,-0.4877,0.9408,-0.2877
1253,24414,118.7064,2.0764,-0.3407,0.9631,-0.2877
1255,24414,133.8942,1.9937,-0.2833,0.9962,-0.2877
1257,24414,118.5541,2.0762,-0.3405,0.9721,-0.2877
1259,24414,133.8339,1.9942,-0.2837,0.9957,-0.2877
1261,24414,103.1834,2.2012,-0.4271,0.9283,-0.2877
1263,24414,149.5191,1.9359,-0.2432,1.0330,-0.2877
1265,24414,110.5854,2.1326,-0.3796,0.9444,-0.2877
1267,24414,118.8935,2.0740,-0.3389,0.9677,-0.2877
1269,24414,110.5854,2.1326,-0.3796,0.9529,-0.2877
1271,24414,110.8806,2.1314,-0.3788,0.9491,-0.2877
1273,24414,118.6816,2.0752,-0.3398,0.9567,-0.2877
1275,24414,133.8258,1.9938,-0.2834,1.0001,-0.2877
1277,24414,126.1665,2.0321,-0.3099,0.9857,-0.2877
1279,24414,141.9511,1.9617,-0.2611,1.0219,-0.2877
1281,24414,118.7646,2.0748,-0.3395,0.9516,-0.2877
1283,24414,126.7640,2.0291,-0.3078,0.9898,-0.2877
1285,24414,95.8835,2.2886,-0.4877,0.8984,-0.2877
1287,24414,134.5390,1.9919,-0.2820,1.0026,-0.2877
1289,24414,125.9710,2.0321,-0.3100,0.9719,-0.2877
1291,24414,118.9047,2.0738,-0.3388,0.9522,-0.2877
1293,24414,111.2160,2.1278,-0.3763,0.9396,-0.2877
1295,24414,111.1840,2.1286,-0.3768,0.9674,-0.2877
1297,24414,111.2160,2.1278,-0.3763,0.9270,-0.2877
1299,24414,126.2717,2.0304,-0.3087,0.9843,-0.2877
1301,24414,103.5355,2.1974,-0.4245,0.9343,-0.2877
1303,24414,111.2160,2.1278,-0.3763,0.9634,-0.2877
1305,24414,126.0436,2.0327,-0.3104,0.9783,-0.2877
1307,24414,141.8956,1.9618,-0.2612,1.0161,-0.2877
1309,24414,126.5208,2.0296,-0.3082,0.9794,-0.2877
1311,24414,118.6038,2.0750,-0.3396,0.9864,-0.2877
1313,24414,103.6018,2.1975,-0.4246,0.9381,-0.2877
1315,24414,110.9348,2.1314,-0.3788,0.9510,-0.2877
1317,24414,110.9348,2.1314,-0.3788,0.9447,-0.2877
1319,24414,118.4917,2.0770,-0.3411,0.9666,-0.2877
1321,24414,133.7747,1.9942,-0.2837,1.0016,-0.2877
1323,24414,118.3700,2.0770,-0.3411,0.9566,-0.2877
1325,24414,103.5355,2.1974,-0.4245,0.9165,-0.2877
1327,24414,134.3292,1.9924,-0.2824,0.9964,-0.2877
1329,24414,118.5490,2.0767,-0.3408,0.9626,-0.2877
1331,24414,118.5490,2.0767,-0.3408,0.9588,-0.2877
