number,predicted_steps,actual_steps,error,peak_value,binary_pattern
60585,109.38,35,-74.38,517589,0010101001
3967,110.25,36,-74.25,45197,1101111111
49,91.25,17,-74.25,49,0000110001
7639,98.22,24,-74.22,17189,0111010111
28127,108.19,34,-74.19,142397,0111011111
3193,100.14,26,-74.14,6065,0001111001
1887,101.06,27,-74.06,9557,1101011111
59,96.06,22,-74.06,101,0000111011
5391,96.02,22,-74.02,18197,0100001111
27163,102.92,29,-73.92,154709,1000011011
583,95.84,22,-73.84,1313,1001000111
633,95.84,22,-73.84,1205,1001111001
61,87.71,14,-73.71,61,0000111101
3819,96.70,23,-73.70,7253,1011101011
1375,101.69,28,-73.69,6965,0101011111
1131,99.68,26,-73.68,1697,0001101011
29,86.66,13,-73.66,29,0000011101
331,91.47,18,-73.47,497,0101001011
10731,107.45,34,-73.45,45845,0111101011
25759,110.35,37,-73.35,330101,0010011111
67,92.30,19,-73.30,101,0001000011
575,103.15,30,-73.15,4373,1000111111
1073,91.10,18,-73.10,1073,0000110001
511,114.08,41,-73.08,13121,0111111111
121171,108.99,36,-72.99,517589,0101010011
2533,96.95,24,-72.95,2533,0111100101
1535,113.93,41,-72.93,39365,0111111111
27273,101.92,29,-72.92,77669,1010001001
713,91.89,19,-72.89,1205,1011001001
191,102.88,30,-72.88,1457,0010111111
54335,102.83,30,-72.83,412613,0000111111
22159,104.75,32,-72.75,74789,1010001111
767,112.75,40,-72.75,13121,1011111111
11,82.67,10,-72.67,17,0000001011
537,89.65,17,-72.65,605,1000011001
1191,106.65,34,-72.65,5093,0010100111
20455,99.63,27,-72.63,77669,1111100111
54547,102.63,30,-72.63,81821,0100010011
257983,109.59,37,-72.59,2203949,1110111111
11111,111.58,39,-72.58,142397,1101100111
995,90.53,18,-72.53,1493,1111100011
3687,103.47,31,-72.47,21005,1001100111
423,95.47,23,-72.47,1073,0110100111
680959,120.46,48,-72.46,26178389,1111111111
515967,110.40,38,-72.40,5877197,1101111111
1267,95.39,23,-72.39,1901,0011110011
2395,96.38,24,-72.38,6065,0101011011
54327,102.34,30,-72.34,154709,0000110111
951,93.28,21,-72.28,2141,1110110111
65,91.24,19,-72.24,65,0001000001
981,90.24,18,-72.24,981,1111010101
187,102.20,30,-72.20,317,0010111011
479,108.19,36,-72.19,3077,0111011111
1003,101.16,29,-72.16,2861,1111101011
75,83.10,11,-72.10,113,0001001011
