residue,max_run_1s,max_run_0s,hamming_weight,alternation_score,trailing_ones,trailing_zeros_3n1,mod_3,mod_9,mod_27,bit_entropy,avg_odd_mult,leading_ones,leading_zeros,trailing_zeros,longest_alternating_run,block_count,run_length_entropy,binary_compressibility,max_run_0s_dup,count,avg_steps,avg_peak,avg_v2
51,2.0000,4.0000,4.0000,3.0000,2.0000,1.0000,0.0000,6.0000,24.0000,0.9710,0.9519,0.0000,4.0000,0.0000,2.0000,4.0000,1.9219,2.5000,4.0000,48829,114.9144,62639807.6548,0.0000
53,2.0000,4.0000,4.0000,5.0000,1.0000,5.0000,2.0000,8.0000,26.0000,0.9710,0.9109,0.0000,4.0000,0.0000,5.0000,6.0000,2.3219,1.6667,4.0000,48829,99.7464,27126747.3287,0.0000
55,3.0000,4.0000,5.0000,3.0000,3.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9978,0.0000,4.0000,0.0000,3.0000,4.0000,1.8464,2.5000,4.0000,48829,130.0210,740355434.2709,0.0000
57,3.0000,4.0000,4.0000,3.0000,1.0000,2.0000,0.0000,3.0000,3.0000,0.9710,0.9463,0.0000,4.0000,0.0000,2.0000,4.0000,1.8464,2.5000,4.0000,48829,114.6557,58190234.0286,0.0000
59,3.0000,4.0000,5.0000,3.0000,2.0000,1.0000,2.0000,5.0000,5.0000,1.0000,0.9790,0.0000,4.0000,0.0000,3.0000,4.0000,1.8464,2.5000,4.0000,48829,122.1950,123602333.6898,0.0000
61,4.0000,4.0000,5.0000,3.0000,1.0000,3.0000,1.0000,7.0000,7.0000,1.0000,0.9509,0.0000,4.0000,0.0000,3.0000,4.0000,1.7219,2.5000,4.0000,48829,107.4361,30661898.6091,0.0000
63,6.0000,4.0000,6.0000,1.0000,6.0000,1.0000,0.0000,0.0000,9.0000,0.9710,1.0028,0.0000,4.0000,0.0000,2.0000,2.0000,0.9710,5.0000,4.0000,48829,129.7695,628590986.5407,0.0000
65,1.0000,5.0000,2.0000,3.0000,1.0000,2.0000,2.0000,2.0000,11.0000,0.7219,0.9501,0.0000,3.0000,0.0000,3.0000,4.0000,1.6855,2.5000,5.0000,48829,114.9666,52249666.3292,0.0000
67,2.0000,4.0000,3.0000,3.0000,2.0000,1.0000,1.0000,4.0000,13.0000,0.8813,0.9581,0.0000,3.0000,0.0000,3.0000,4.0000,1.8464,2.5000,4.0000,48829,114.9666,63432386.5896,0.0000
69,1.0000,3.0000,3.0000,5.0000,1.0000,4.0000,0.0000,6.0000,15.0000,0.8813,0.8991,0.0000,3.0000,0.0000,4.0000,6.0000,2.3710,1.6667,3.0000,48829,99.7464,27126763.1042,0.0000
71,3.0000,3.0000,4.0000,3.0000,3.0000,1.0000,2.0000,8.0000,17.0000,0.9710,0.9865,0.0000,3.0000,0.0000,3.0000,4.0000,1.8955,2.5000,3.0000,48829,129.9276,394958421.3717,0.0000
73,1.0000,3.0000,3.0000,5.0000,1.0000,2.0000,1.0000,1.0000,19.0000,0.8813,0.9935,0.0000,3.0000,0.0000,3.0000,6.0000,2.4464,1.6667,3.0000,48829,130.1665,434891136.2137,0.0000
75,2.0000,3.0000,4.0000,5.0000,2.0000,1.0000,0.0000,3.0000,21.0000,0.9710,0.9390,0.0000,3.0000,0.0000,4.0000,6.0000,2.4464,1.6667,3.0000,48829,99.7464,39481439.2911,0.0000
77,2.0000,3.0000,4.0000,5.0000,1.0000,3.0000,2.0000,5.0000,23.0000,0.9710,0.9457,0.0000,3.0000,0.0000,3.0000,6.0000,2.4464,1.6667,3.0000,48829,114.6570,51906591.6255,0.0000
79,4.0000,3.0000,5.0000,3.0000,4.0000,1.0000,1.0000,7.0000,25.0000,1.0000,0.9675,0.0000,3.0000,0.0000,3.0000,4.0000,1.8464,2.5000,3.0000,48829,114.5096,107908199.9642,0.0000
81,1.0000,3.0000,3.0000,5.0000,1.0000,2.0000,0.0000,0.0000,0.0000,0.8813,0.9543,0.0000,3.0000,0.0000,5.0000,6.0000,2.3710,1.6667,3.0000,48829,114.6570,51906595.0978,0.0000
83,2.0000,3.0000,4.0000,5.0000,2.0000,1.0000,2.0000,2.0000,2.0000,0.9710,0.9930,0.0000,3.0000,0.0000,5.0000,6.0000,2.4464,1.6667,3.0000,48829,130.1064,343653036.9217,0.0000
85,1.0000,3.0000,4.0000,7.0000,1.0000,8.0000,1.0000,4.0000,4.0000,0.9710,0.9039,0.0000,3.0000,0.0000,8.0000,8.0000,2.8464,1.2500,3.0000,48829,92.2259,25881848.5282,0.0000
87,3.0000,3.0000,5.0000,5.0000,3.0000,1.0000,0.0000,6.0000,6.0000,1.0000,0.9475,0.0000,3.0000,0.0000,6.0000,6.0000,2.3710,1.6667,3.0000,48829,107.3405,62633692.9776,0.0000
89,2.0000,3.0000,4.0000,5.0000,1.0000,2.0000,2.0000,8.0000,8.0000,0.9710,0.9557,0.0000,3.0000,0.0000,4.0000,6.0000,2.4464,1.6667,3.0000,48829,114.9514,50058895.4145,0.0000
91,2.0000,3.0000,5.0000,5.0000,2.0000,1.0000,1.0000,1.0000,10.0000,1.0000,1.0078,0.0000,3.0000,0.0000,4.0000,6.0000,2.4464,1.6667,3.0000,48829,137.3879,1223967636.4336,0.0000
93,3.0000,3.0000,5.0000,5.0000,1.0000,3.0000,0.0000,3.0000,12.0000,1.0000,0.9386,0.0000,3.0000,0.0000,4.0000,6.0000,2.3710,1.6667,3.0000,48829,107.3304,31406179.2107,0.0000
95,5.0000,3.0000,6.0000,3.0000,5.0000,1.0000,2.0000,5.0000,14.0000,0.9710,1.0028,0.0000,3.0000,0.0000,4.0000,4.0000,1.6855,2.5000,3.0000,48829,129.8819,362754783.7666,0.0000
97,2.0000,4.0000,3.0000,3.0000,1.0000,2.0000,1.0000,7.0000,16.0000,0.8813,0.9686,0.0000,3.0000,0.0000,2.0000,4.0000,1.8464,2.5000,4.0000,48829,122.4305,131852338.4958,0.0000
99,2.0000,3.0000,4.0000,3.0000,2.0000,1.0000,0.0000,0.0000,18.0000,0.9710,0.9789,0.0000,3.0000,0.0000,2.0000,4.0000,1.9710,2.5000,3.0000,48829,114.9798,63591951.2510,0.0000
101,2.0000,3.0000,4.0000,5.0000,1.0000,4.0000,2.0000,2.0000,20.0000,0.9710,0.9579,0.0000,3.0000,0.0000,4.0000,6.0000,2.4464,1.6667,3.0000,48829,114.9798,52430545.8138,0.0000
103,3.0000,3.0000,5.0000,3.0000,3.0000,1.0000,1.0000,4.0000,22.0000,1.0000,1.0081,0.0000,3.0000,0.0000,2.0000,4.0000,1.9710,2.5000,3.0000,48829,137.7630,1062413793.4939,0.0000
105,2.0000,3.0000,4.0000,5.0000,1.0000,2.0000,0.0000,6.0000,24.0000,0.9710,0.9734,0.0000,3.0000,0.0000,4.0000,6.0000,2.4464,1.6667,3.0000,48829,122.4557,127589206.4359,0.0000
107,2.0000,3.0000,5.0000,5.0000,2.0000,1.0000,2.0000,8.0000,26.0000,1.0000,0.9867,0.0000,3.0000,0.0000,5.0000,6.0000,2.4464,1.6667,3.0000,48829,130.1380,412363599.9174,0.0000
109,2.0000,3.0000,5.0000,5.0000,1.0000,3.0000,1.0000,1.0000,1.0000,1.0000,0.9929,0.0000,3.0000,0.0000,3.0000,6.0000,2.4464,1.6667,3.0000,48829,129.9877,730146640.2890,0.0000
111,4.0000,3.0000,6.0000,3.0000,4.0000,1.0000,0.0000,3.0000,3.0000,0.9710,1.0077,0.0000,3.0000,0.0000,3.0000,4.0000,1.8464,2.5000,3.0000,48829,137.4267,925784725.0485,0.0000
113,3.0000,3.0000,4.0000,3.0000,1.0000,2.0000,2.0000,5.0000,5.0000,0.9710,0.9127,0.0000,3.0000,0.0000,2.0000,4.0000,1.8955,2.5000,3.0000,48829,92.2259,25881876.4004,0.0000
115,3.0000,3.0000,5.0000,3.0000,2.0000,1.0000,1.0000,7.0000,7.0000,1.0000,0.9441,0.0000,3.0000,0.0000,2.0000,4.0000,1.9710,2.5000,3.0000,48829,115.0547,56040536.4258,0.0000
117,3.0000,3.0000,5.0000,5.0000,1.0000,5.0000,0.0000,0.0000,9.0000,1.0000,0.9359,0.0000,3.0000,0.0000,5.0000,6.0000,2.3710,1.6667,3.0000,48829,107.3586,30868541.8388,0.0000
119,3.0000,3.0000,6.0000,3.0000,3.0000,1.0000,2.0000,2.0000,11.0000,0.9710,0.9580,0.0000,3.0000,0.0000,3.0000,4.0000,1.8955,2.5000,3.0000,48829,114.8089,78330066.9565,0.0000
121,4.0000,3.0000,5.0000,3.0000,1.0000,2.0000,1.0000,4.0000,13.0000,1.0000,0.9864,0.0000,3.0000,0.0000,2.0000,4.0000,1.8464,2.5000,3.0000,48829,129.8899,555940604.2772,0.0000
123,4.0000,3.0000,6.0000,3.0000,2.0000,1.0000,0.0000,6.0000,15.0000,0.9710,0.9682,0.0000,3.0000,0.0000,3.0000,4.0000,1.8464,2.5000,3.0000,48829,122.3609,111218317.8096,0.0000
125,5.0000,3.0000,6.0000,3.0000,1.0000,3.0000,2.0000,8.0000,17.0000,0.9710,0.9731,0.0000,3.0000,0.0000,3.0000,4.0000,1.6855,2.5000,3.0000,48829,122.4621,117432923.7143,0.0000
127,7.0000,3.0000,7.0000,1.0000,7.0000,1.0000,1.0000,1.0000,19.0000,0.8813,1.0124,0.0000,3.0000,0.0000,2.0000,2.0000,0.8813,5.0000,3.0000,48829,137.7316,3611908640.2322,0.0000
