n,T_n,v_2,multiplier,log_drift
168001,126001,2,0.750001,-0.28768
169001,126751,2,0.750001,-0.28768
170001,127501,2,0.750001,-0.28768
171001,128251,2,0.750001,-0.28768
172001,129001,2,0.750001,-0.28768
173001,129751,2,0.750001,-0.28768
174001,130501,2,0.750001,-0.28768
175001,131251,2,0.750001,-0.28768
176001,132001,2,0.750001,-0.28768
177001,132751,2,0.750001,-0.28768
178001,133501,2,0.750001,-0.28768
179001,134251,2,0.750001,-0.28768
180001,135001,2,0.750001,-0.28768
181001,135751,2,0.750001,-0.28768
182001,136501,2,0.750001,-0.28768
183001,137251,2,0.750001,-0.28768
184001,138001,2,0.750001,-0.28768
185001,138751,2,0.750001,-0.28768
186001,139501,2,0.750001,-0.28768
187001,140251,2,0.750001,-0.28768
188001,141001,2,0.750001,-0.28768
189001,141751,2,0.750001,-0.28768
190001,142501,2,0.750001,-0.28768
191001,143251,2,0.750001,-0.28768
192001,144001,2,0.750001,-0.28768
193001,144751,2,0.750001,-0.28768
194001,145501,2,0.750001,-0.28768
195001,146251,2,0.750001,-0.28768
196001,147001,2,0.750001,-0.28768
197001,147751,2,0.750001,-0.28768
198001,148501,2,0.750001,-0.28768
199001,149251,2,0.750001,-0.28768
200001,150001,2,0.750001,-0.28768
201001,150751,2,0.750001,-0.28768
202001,151501,2,0.750001,-0.28768
203001,152251,2,0.750001,-0.28768
204001,153001,2,0.750001,-0.28768
205001,153751,2,0.750001,-0.28768
206001,154501,2,0.750001,-0.28768
207001,155251,2,0.750001,-0.28768
208001,156001,2,0.750001,-0.28768
209001,156751,2,0.750001,-0.28768
210001,157501,2,0.750001,-0.28768
211001,158251,2,0.750001,-0.28768
212001,159001,2,0.750001,-0.287681
213001,159751,2,0.750001,-0.287681
214001,160501,2,0.750001,-0.287681
215001,161251,2,0.750001,-0.287681
216001,162001,2,0.750001,-0.287681
217001,162751,2,0.750001,-0.287681
218001,163501,2,0.750001,-0.287681
219001,164251,2,0.750001,-0.287681
220001,165001,2,0.750001,-0.287681
221001,165751,2,0.750001,-0.287681
222001,166501,2,0.750001,-0.287681
223001,167251,2,0.750001,-0.287681
224001,168001,2,0.750001,-0.287681
225001,168751,2,0.750001,-0.287681
226001,169501,2,0.750001,-0.287681
227001,170251,2,0.750001,-0.287681
228001,171001,2,0.750001,-0.287681
229001,171751,2,0.750001,-0.287681
230001,172501,2,0.750001,-0.287681
231001,173251,2,0.750001,-0.287681
232001,174001,2,0.750001,-0.287681
233001,174751,2,0.750001,-0.287681
234001,175501,2,0.750001,-0.287681
235001,176251,2,0.750001,-0.287681
236001,177001,2,0.750001,-0.287681
237001,177751,2,0.750001,-0.287681
238001,178501,2,0.750001,-0.287681
239001,179251,2,0.750001,-0.287681
240001,180001,2,0.750001,-0.287681
241001,180751,2,0.750001,-0.287681
242001,181501,2,0.750001,-0.287681
243001,182251,2,0.750001,-0.287681
244001,183001,2,0.750001,-0.287681
245001,183751,2,0.750001,-0.287681
246001,184501,2,0.750001,-0.287681
247001,185251,2,0.750001,-0.287681
248001,186001,2,0.750001,-0.287681
249001,186751,2,0.750001,-0.287681
250001,187501,2,0.750001,-0.287681
251001,188251,2,0.750001,-0.287681
252001,189001,2,0.750001,-0.287681
253001,189751,2,0.750001,-0.287681
254001,190501,2,0.750001,-0.287681
255001,191251,2,0.750001,-0.287681
256001,192001,2,0.750001,-0.287681
257001,192751,2,0.750001,-0.287681
258001,193501,2,0.750001,-0.287681
259001,194251,2,0.750001,-0.287681
260001,195001,2,0.750001,-0.287681
261001,195751,2,0.750001,-0.287681
262001,196501,2,0.750001,-0.287681
263001,197251,2,0.750001,-0.287681
264001,198001,2,0.750001,-0.287681
265001,198751,2,0.750001,-0.287681
266001,199501,2,0.750001,-0.287681
267001,200251,2,0.750001,-0.287681
268001,201001,2,0.750001,-0.287681
269001,201751,2,0.750001,-0.287681
270001,202501,2,0.750001,-0.287681
271001,203251,2,0.750001,-0.287681
272001,204001,2,0.750001,-0.287681
273001,204751,2,0.750001,-0.287681
274001,205501,2,0.750001,-0.287681
275001,206251,2,0.750001,-0.287681
276001,207001,2,0.750001,-0.287681
277001,207751,2,0.750001,-0.287681
278001,208501,2,0.750001,-0.287681
279001,209251,2,0.750001,-0.287681
280001,210001,2,0.750001,-0.287681
281001,210751,2,0.750001,-0.287681
282001,211501,2,0.750001,-0.287681
283001,212251,2,0.750001,-0.287681
284001,213001,2,0.750001,-0.287681
285001,213751,2,0.750001,-0.287681
286001,214501,2,0.750001,-0.287681
287001,215251,2,0.750001,-0.287681
288001,216001,2,0.750001,-0.287681
289001,216751,2,0.750001,-0.287681
290001,217501,2,0.750001,-0.287681
291001,218251,2,0.750001,-0.287681
292001,219001,2,0.750001,-0.287681
293001,219751,2,0.750001,-0.287681
294001,220501,2,0.750001,-0.287681
295001,221251,2,0.750001,-0.287681
296001,222001,2,0.750001,-0.287681
297001,222751,2,0.750001,-0.287681
298001,223501,2,0.750001,-0.287681
299001,224251,2,0.750001,-0.287681
300001,225001,2,0.750001,-0.287681
301001,225751,2,0.750001,-0.287681
302001,226501,2,0.750001,-0.287681
303001,227251,2,0.750001,-0.287681
304001,228001,2,0.750001,-0.287681
305001,228751,2,0.750001,-0.287681
306001,229501,2,0.750001,-0.287681
307001,230251,2,0.750001,-0.287681
308001,231001,2,0.750001,-0.287681
309001,231751,2,0.750001,-0.287681
310001,232501,2,0.750001,-0.287681
311001,233251,2,0.750001,-0.287681
312001,234001,2,0.750001,-0.287681
313001,234751,2,0.750001,-0.287681
314001,235501,2,0.750001,-0.287681
315001,236251,2,0.750001,-0.287681
316001,237001,2,0.750001,-0.287681
317001,237751,2,0.750001,-0.287681
318001,238501,2,0.750001,-0.287681
319001,239251,2,0.750001,-0.287681
320001,240001,2,0.750001,-0.287681
321001,240751,2,0.750001,-0.287681
322001,241501,2,0.750001,-0.287681
323001,242251,2,0.750001,-0.287681
324001,243001,2,0.750001,-0.287681
325001,243751,2,0.750001,-0.287681
326001,244501,2,0.750001,-0.287681
327001,245251,2,0.750001,-0.287681
328001,246001,2,0.750001,-0.287681
329001,246751,2,0.750001,-0.287681
330001,247501,2,0.750001,-0.287681
331001,248251,2,0.750001,-0.287681
332001,249001,2,0.750001,-0.287681
333001,249751,2,0.750001,-0.287681
334001,250501,2,0.750001,-0.287681
335001,251251,2,0.750001,-0.287681
336001,252001,2,0.750001,-0.287681
337001,252751,2,0.750001,-0.287681
338001,253501,2,0.750001,-0.287681
339001,254251,2,0.750001,-0.287681
340001,255001,2,0.750001,-0.287681
341001,255751,2,0.750001,-0.287681
342001,256501,2,0.750001,-0.287681
343001,257251,2,0.750001,-0.287681
344001,258001,2,0.750001,-0.287681
345001,258751,2,0.750001,-0.287681
346001,259501,2,0.750001,-0.287681
347001,260251,2,0.750001,-0.287681
348001,261001,2,0.750001,-0.287681
349001,261751,2,0.750001,-0.287681
350001,262501,2,0.750001,-0.287681
351001,263251,2,0.750001,-0.287681
352001,264001,2,0.750001,-0.287681
353001,264751,2,0.750001,-0.287681
354001,265501,2,0.750001,-0.287681
355001,266251,2,0.750001,-0.287681
356001,267001,2,0.750001,-0.287681
357001,267751,2,0.750001,-0.287681
358001,268501,2,0.750001,-0.287681
359001,269251,2,0.750001,-0.287681
360001,270001,2,0.750001,-0.287681
361001,270751,2,0.750001,-0.287681
362001,271501,2,0.750001,-0.287681
363001,272251,2,0.750001,-0.287681
364001,273001,2,0.750001,-0.287681
365001,273751,2,0.750001,-0.287681
366001,274501,2,0.750001,-0.287681
367001,275251,2,0.750001,-0.287681
368001,276001,2,0.750001,-0.287681
369001,276751,2,0.750001,-0.287681
370001,277501,2,0.750001,-0.287681
371001,278251,2,0.750001,-0.287681
372001,279001,2,0.750001,-0.287681
373001,279751,2,0.750001,-0.287681
374001,280501,2,0.750001,-0.287681
375001,281251,2,0.750001,-0.287681
376001,282001,2,0.750001,-0.287681
