residue,count,avg_steps,avg_v2,avg_log_drift,avg_odd_mult,theoretical_drift
1,977,86.8680,2.1324,-0.3806,0.9108,-0.2877
3,977,88.1607,2.1211,-0.3716,0.9366,-0.2877
5,977,80.3746,2.2156,-0.4371,0.8912,-0.2877
7,977,88.1668,2.1208,-0.3714,0.9431,-0.2877
9,977,96.4954,2.0509,-0.3230,0.9646,-0.2877
11,977,80.3808,2.2141,-0.4361,0.9117,-0.2877
13,977,80.5814,2.2145,-0.4364,0.8964,-0.2877
15,977,87.8588,2.1260,-0.3750,0.9640,-0.2877
17,977,80.5834,2.2140,-0.4360,0.8965,-0.2877
19,977,88.0870,2.1272,-0.3759,0.9413,-0.2877
21,977,72.7769,2.3718,-0.5454,0.8701,-0.2877
23,977,80.5855,2.2137,-0.4358,0.9333,-0.2877
25,977,95.1740,2.0626,-0.3311,0.9596,-0.2877
27,977,109.3736,1.9706,-0.2673,1.0109,-0.2877
29,977,88.5486,2.1198,-0.3707,0.9333,-0.2877
31,977,110.0532,1.9697,-0.2667,1.0117,-0.2877
33,977,96.7267,2.0501,-0.3224,0.9646,-0.2877
35,977,72.7810,2.3691,-0.5435,0.8901,-0.2877
37,977,89.4125,2.1182,-0.3696,0.9477,-0.2877
39,977,95.5107,2.0615,-0.3303,0.9763,-0.2877
41,977,101.5977,2.0170,-0.2994,0.9898,-0.2877
43,977,88.8946,2.1269,-0.3757,0.9372,-0.2877
45,977,81.3153,2.2126,-0.4350,0.8896,-0.2877
47,977,103.9048,2.0059,-0.2918,0.9941,-0.2877
49,977,88.4023,2.1291,-0.3771,0.9442,-0.2877
51,977,88.4023,2.1291,-0.3771,0.9386,-0.2877
53,977,73.7799,2.3613,-0.5381,0.8703,-0.2877
55,977,102.4156,2.0110,-0.2953,0.9989,-0.2877
57,977,88.3808,2.1276,-0.3761,0.9335,-0.2877
59,977,94.1423,2.0681,-0.3349,0.9735,-0.2877
61,977,81.4647,2.2111,-0.4340,0.9389,-0.2877
63,977,102.3173,2.0160,-0.2988,1.0057,-0.2877
65,977,89.3552,2.1226,-0.3726,0.9385,-0.2877
67,977,89.3552,2.1226,-0.3726,0.9494,-0.2877
69,977,73.7820,2.3605,-0.5375,0.8529,-0.2877
71,977,102.8475,2.0105,-0.2949,0.9857,-0.2877
73,977,103.0358,2.0101,-0.2947,0.9942,-0.2877
75,977,73.7820,2.3605,-0.5375,0.9148,-0.2877
77,977,88.5926,2.1271,-0.3758,0.9314,-0.2877
79,977,87.4012,2.1352,-0.3814,0.9597,-0.2877
81,977,88.5926,2.1271,-0.3758,0.9429,-0.2877
83,977,102.6295,2.0092,-0.2941,0.9949,-0.2877
85,977,66.6643,2.5679,-0.6813,0.8504,-0.2877
87,977,80.9263,2.2286,-0.4461,0.9297,-0.2877
89,977,88.1003,2.1252,-0.3744,0.9445,-0.2877
91,977,108.0512,1.9764,-0.2713,1.0109,-0.2877
93,977,81.2180,2.2213,-0.4411,0.9183,-0.2877
95,977,103.8414,2.0070,-0.2925,1.0087,-0.2877
97,977,95.5947,2.0607,-0.3297,0.9618,-0.2877
99,977,87.5333,2.1408,-0.3853,0.9728,-0.2877
101,977,87.5333,2.1408,-0.3853,0.9432,-0.2877
103,977,109.4913,1.9772,-0.2719,1.0106,-0.2877
105,977,94.8997,2.0658,-0.3333,0.9658,-0.2877
107,977,102.6561,2.0126,-0.2964,0.9842,-0.2877
109,977,102.4104,2.0089,-0.2939,0.9933,-0.2877
111,977,110.5691,1.9691,-0.2663,1.0124,-0.2877
113,977,66.6663,2.5648,-0.6792,0.8670,-0.2877
115,977,88.1904,2.1227,-0.3727,0.9288,-0.2877
117,977,82.0921,2.2125,-0.4350,0.9158,-0.2877
119,977,88.0194,2.1299,-0.3777,0.9451,-0.2877
121,977,104.3306,2.0076,-0.2930,0.9873,-0.2877
123,977,95.8414,2.0616,-0.3304,0.9608,-0.2877
125,977,94.7758,2.0672,-0.3342,0.9661,-0.2877
127,977,110.3040,1.9692,-0.2663,1.0169,-0.2877
129,977,96.6264,2.0579,-0.3278,0.9601,-0.2877
131,977,80.8414,2.2282,-0.4459,0.9111,-0.2877
133,977,80.8414,2.2282,-0.4459,0.9063,-0.2877
135,977,94.8362,2.0688,-0.3354,0.9733,-0.2877
137,977,108.8905,1.9730,-0.2690,1.0117,-0.2877
139,977,96.1198,2.0647,-0.3325,0.9600,-0.2877
141,977,73.6151,2.3538,-0.5329,0.8580,-0.2877
143,977,95.6704,2.0647,-0.3325,0.9827,-0.2877
145,977,94.3889,2.0678,-0.3346,0.9592,-0.2877
147,977,94.3889,2.0678,-0.3346,0.9690,-0.2877
149,977,80.2242,2.2335,-0.4495,0.9345,-0.2877
151,977,73.6151,2.3538,-0.5329,0.9445,-0.2877
153,977,88.5404,2.1230,-0.3729,0.9297,-0.2877
155,977,103.6663,2.0078,-0.2931,0.9937,-0.2877
157,977,87.9386,2.1317,-0.3789,0.9411,-0.2877
159,977,117.0317,1.9375,-0.2444,1.0331,-0.2877
161,977,102.6602,2.0072,-0.2927,0.9871,-0.2877
163,977,88.7349,2.1268,-0.3756,0.9626,-0.2877
165,977,94.8895,2.0620,-0.3307,0.9817,-0.2877
167,977,110.9816,1.9656,-0.2638,1.0135,-0.2877
169,977,111.2907,1.9673,-0.2650,1.0178,-0.2877
171,977,87.7697,2.1329,-0.3798,0.9276,-0.2877
173,977,80.1126,2.2259,-0.4443,0.8862,-0.2877
175,977,105.4166,1.9934,-0.2831,0.9984,-0.2877
177,977,88.0154,2.1238,-0.3735,0.9357,-0.2877
179,977,88.0154,2.1238,-0.3735,0.9466,-0.2877
181,977,74.1617,2.3487,-0.5294,0.8674,-0.2877
183,977,102.4524,2.0111,-0.2954,0.9931,-0.2877
185,977,95.8342,2.0635,-0.3317,0.9606,-0.2877
187,977,103.4954,2.0122,-0.2962,0.9948,-0.2877
189,977,96.8137,2.0647,-0.3325,0.9605,-0.2877
191,977,103.5916,2.0036,-0.2902,1.0032,-0.2877
193,977,87.5977,2.1358,-0.3818,0.9146,-0.2877
195,977,87.5977,2.1358,-0.3818,0.9548,-0.2877
197,977,80.3265,2.2366,-0.4517,0.9074,-0.2877
199,977,95.6622,2.0620,-0.3307,0.9591,-0.2877
201,977,81.7288,2.2113,-0.4342,0.9490,-0.2877
203,977,86.9918,2.1464,-0.3892,0.9379,-0.2877
205,977,80.3265,2.2366,-0.4517,0.8807,-0.2877
207,977,101.6878,2.0181,-0.3002,0.9971,-0.2877
209,977,93.9324,2.0706,-0.3366,0.9580,-0.2877
211,977,93.9324,2.0706,-0.3366,0.9679,-0.2877
213,977,66.1965,2.5798,-0.6896,0.8351,-0.2877
215,977,95.6305,2.0638,-0.3319,0.9739,-0.2877
217,977,86.4432,2.1475,-0.3899,0.9469,-0.2877
219,977,94.7359,2.0700,-0.3362,0.9631,-0.2877
