residue,count,avg_steps,avg_v2,avg_log_drift,avg_odd_mult,theoretical_drift
1,12208,114.2718,2.1026,-0.3589,0.9301,-0.2877
3,12208,114.2998,2.1018,-0.3582,0.9444,-0.2877
5,12208,107.0011,2.1617,-0.3998,0.9147,-0.2877
7,12208,114.3003,2.1018,-0.3582,0.9524,-0.2877
9,12208,114.3005,2.1018,-0.3582,0.9490,-0.2877
11,12208,107.0016,2.1616,-0.3997,0.9237,-0.2877
13,12208,107.1703,2.1593,-0.3981,0.9180,-0.2877
15,12208,107.0018,2.1616,-0.3997,0.9576,-0.2877
17,12208,107.1705,2.1593,-0.3981,0.9180,-0.2877
19,12208,114.4204,2.1001,-0.3571,0.9465,-0.2877
21,12208,99.1615,2.2393,-0.4536,0.9059,-0.2877
23,12208,107.1706,2.1592,-0.3981,0.9469,-0.2877
25,12208,114.5428,2.1015,-0.3580,0.9493,-0.2877
27,12208,137.0083,1.9799,-0.2738,1.0033,-0.2877
29,12208,107.1708,2.1592,-0.3980,0.9232,-0.2877
31,12208,137.6834,1.9772,-0.2719,1.0043,-0.2877
33,12208,121.9819,2.0526,-0.3241,0.9633,-0.2877
35,12208,99.1619,2.2391,-0.4534,0.9123,-0.2877
37,12208,114.6596,2.0990,-0.3563,0.9534,-0.2877
39,12208,122.0534,2.0503,-0.3226,0.9801,-0.2877
41,12208,137.2627,1.9796,-0.2736,1.0034,-0.2877
43,12208,122.0469,2.0518,-0.3236,0.9747,-0.2877
45,12208,99.1620,2.2391,-0.4534,0.8950,-0.2877
47,12208,137.3942,1.9783,-0.2726,1.0039,-0.2877
49,12208,114.6081,2.1007,-0.3575,0.9508,-0.2877
51,12208,114.6081,2.1007,-0.3575,0.9468,-0.2877
53,12208,99.5102,2.2348,-0.4504,0.9060,-0.2877
55,12208,129.8964,2.0121,-0.2961,0.9935,-0.2877
57,12208,114.4124,2.1012,-0.3578,0.9454,-0.2877
59,12208,114.4124,2.1012,-0.3578,0.9620,-0.2877
61,12208,106.9264,2.1586,-0.3976,0.9403,-0.2877
63,12208,129.2957,2.0141,-0.2975,1.0031,-0.2877
65,12208,114.4407,2.0991,-0.3564,0.9512,-0.2877
67,12208,114.4407,2.0991,-0.3564,0.9591,-0.2877
69,12208,99.5104,2.2347,-0.4504,0.8985,-0.2877
71,12208,137.4229,1.9781,-0.2725,1.0043,-0.2877
73,12208,130.0775,2.0103,-0.2948,0.9942,-0.2877
75,12208,99.5104,2.2347,-0.4504,0.9391,-0.2877
77,12208,106.8792,2.1618,-0.3998,0.9223,-0.2877
79,12208,121.7594,2.0529,-0.3243,0.9816,-0.2877
81,12208,106.8792,2.1618,-0.3998,0.9448,-0.2877
83,12208,129.5552,2.0135,-0.2970,0.9882,-0.2877
85,12208,92.1471,2.3384,-0.5223,0.8990,-0.2877
87,12208,114.9065,2.1000,-0.3570,0.9654,-0.2877
89,12208,114.9065,2.1000,-0.3570,0.9534,-0.2877
91,12208,137.0038,1.9791,-0.2732,1.0085,-0.2877
93,12208,99.5106,2.2347,-0.4504,0.9121,-0.2877
95,12208,129.3848,2.0125,-0.2964,0.9987,-0.2877
97,12208,130.1458,2.0091,-0.2940,0.9901,-0.2877
99,12208,115.1168,2.0972,-0.3551,0.9751,-0.2877
101,12208,115.1168,2.0972,-0.3551,0.9542,-0.2877
103,12208,129.7310,2.0114,-0.2956,0.9960,-0.2877
105,12208,114.3225,2.1026,-0.3588,0.9631,-0.2877
107,12208,130.0240,2.0099,-0.2946,0.9879,-0.2877
109,12208,129.8175,2.0118,-0.2958,0.9889,-0.2877
111,12208,144.8357,1.9500,-0.2531,1.0222,-0.2877
113,12208,92.1473,2.3382,-0.5221,0.8990,-0.2877
115,12208,107.3620,2.1569,-0.3964,0.9302,-0.2877
117,12208,107.2063,2.1569,-0.3964,0.9342,-0.2877
119,12208,114.7200,2.0994,-0.3566,0.9594,-0.2877
121,12208,137.2618,1.9778,-0.2723,1.0044,-0.2877
123,12208,122.4194,2.0513,-0.3232,0.9695,-0.2877
125,12208,129.8736,2.0117,-0.2958,0.9891,-0.2877
127,12208,129.5065,2.0123,-0.2962,1.0070,-0.2877
129,12207,122.5007,2.0493,-0.3219,0.9653,-0.2877
131,12207,114.9000,2.0977,-0.3554,0.9657,-0.2877
133,12207,114.9000,2.0977,-0.3554,0.9538,-0.2877
135,12207,122.4990,2.0517,-0.3235,0.9745,-0.2877
137,12207,137.4764,1.9780,-0.2724,1.0044,-0.2877
139,12207,122.4124,2.0514,-0.3233,0.9690,-0.2877
141,12207,92.1488,2.3381,-0.5220,0.8789,-0.2877
143,12207,129.3410,2.0139,-0.2973,0.9982,-0.2877
145,12207,129.8423,2.0112,-0.2955,0.9889,-0.2877
147,12207,129.8423,2.0112,-0.2955,0.9955,-0.2877
149,12207,107.0310,2.1617,-0.3998,0.9471,-0.2877
151,12207,92.1488,2.3381,-0.5220,0.9543,-0.2877
153,12207,114.9041,2.0969,-0.3548,0.9402,-0.2877
155,12207,130.0300,2.0104,-0.2949,0.9891,-0.2877
157,12207,114.5161,2.0998,-0.3569,0.9534,-0.2877
159,12207,145.4674,1.9486,-0.2520,1.0262,-0.2877
161,12207,129.7827,2.0113,-0.2955,0.9825,-0.2877
163,12207,107.0310,2.1617,-0.3998,0.9575,-0.2877
165,12207,122.0956,2.0520,-0.3237,0.9792,-0.2877
167,12207,144.9274,1.9503,-0.2532,1.0226,-0.2877
169,12207,137.1211,1.9798,-0.2737,1.0080,-0.2877
171,12207,114.8913,2.0991,-0.3564,0.9397,-0.2877
173,12207,107.1588,2.1608,-0.3992,0.9178,-0.2877
175,12207,130.0125,2.0112,-0.2955,0.9939,-0.2877
177,12207,107.1588,2.1608,-0.3992,0.9275,-0.2877
