residue,count,avg_steps,avg_v2,avg_log_drift,avg_odd_mult,theoretical_drift
1,48829,114.7157,2.1024,-0.3587,0.9356,-0.2877
3,48829,114.7158,2.1020,-0.3584,0.9498,-0.2877
5,48829,107.1131,2.1648,-0.4019,0.9198,-0.2877
7,48829,114.7159,2.1020,-0.3584,0.9544,-0.2877
9,48829,122.2665,2.0532,-0.3246,0.9678,-0.2877
11,48829,107.1132,2.1648,-0.4019,0.9337,-0.2877
13,48829,107.1873,2.1641,-0.4014,0.9225,-0.2877
15,48829,114.8660,2.1013,-0.3579,0.9696,-0.2877
17,48829,107.1873,2.1641,-0.4014,0.9225,-0.2877
19,48829,114.7572,2.1028,-0.3589,0.9541,-0.2877
21,48829,99.6495,2.2438,-0.4567,0.9116,-0.2877
23,48829,107.1873,2.1641,-0.4014,0.9479,-0.2877
25,48829,122.5543,2.0521,-0.3238,0.9684,-0.2877
27,48829,137.7588,1.9780,-0.2725,1.0082,-0.2877
29,48829,114.9168,2.1012,-0.3579,0.9460,-0.2877
31,48829,137.5405,1.9792,-0.2733,1.0078,-0.2877
33,48829,122.3533,2.0532,-0.3246,0.9678,-0.2877
35,48829,99.6496,2.2438,-0.4566,0.9236,-0.2877
37,48829,114.8272,2.1025,-0.3587,0.9554,-0.2877
39,48829,122.4264,2.0528,-0.3243,0.9789,-0.2877
41,48829,130.0358,2.0129,-0.2966,0.9910,-0.2877
43,48829,114.6185,2.1035,-0.3594,0.9495,-0.2877
45,48829,107.2668,2.1631,-0.4008,0.9158,-0.2877
47,48829,129.9070,2.0129,-0.2966,0.9910,-0.2877
49,48829,114.9144,2.1013,-0.3579,0.9559,-0.2877
51,48829,114.9144,2.1013,-0.3579,0.9519,-0.2877
53,48829,99.7464,2.2424,-0.4557,0.9109,-0.2877
55,48829,130.0210,2.0121,-0.2961,0.9978,-0.2877
57,48829,114.6557,2.1033,-0.3593,0.9463,-0.2877
59,48829,122.1950,2.0540,-0.3251,0.9790,-0.2877
61,48829,107.4361,2.1623,-0.4002,0.9509,-0.2877
63,48829,129.7695,2.0140,-0.2974,1.0028,-0.2877
65,48829,114.9666,2.1014,-0.3580,0.9501,-0.2877
67,48829,114.9666,2.1014,-0.3580,0.9581,-0.2877
69,48829,99.7464,2.2424,-0.4557,0.8991,-0.2877
71,48829,129.9276,2.0130,-0.2967,0.9865,-0.2877
73,48829,130.1665,2.0118,-0.2959,0.9935,-0.2877
75,48829,99.7464,2.2424,-0.4557,0.9390,-0.2877
77,48829,114.6570,2.1025,-0.3587,0.9457,-0.2877
79,48829,114.5096,2.1042,-0.3599,0.9675,-0.2877
81,48829,114.6570,2.1025,-0.3587,0.9543,-0.2877
83,48829,130.1064,2.0127,-0.2965,0.9930,-0.2877
85,48829,92.2259,2.3496,-0.5300,0.9039,-0.2877
87,48829,107.3405,2.1636,-0.4011,0.9475,-0.2877
89,48829,114.9514,2.1023,-0.3586,0.9557,-0.2877
91,48829,137.3879,1.9794,-0.2734,1.0078,-0.2877
93,48829,107.3304,2.1627,-0.4005,0.9386,-0.2877
95,48829,129.8819,2.0131,-0.2967,1.0028,-0.2877
97,48829,122.4305,2.0528,-0.3243,0.9686,-0.2877
99,48829,114.9798,2.1022,-0.3585,0.9789,-0.2877
101,48829,114.9798,2.1022,-0.3585,0.9579,-0.2877
103,48829,137.7630,1.9780,-0.2725,1.0081,-0.2877
105,48829,122.4557,2.0535,-0.3248,0.9734,-0.2877
107,48829,130.1380,2.0121,-0.2961,0.9867,-0.2877
109,48829,129.9877,2.0124,-0.2963,0.9929,-0.2877
111,48829,137.4267,1.9794,-0.2734,1.0077,-0.2877
113,48829,92.2259,2.3495,-0.5299,0.9127,-0.2877
115,48829,115.0547,2.1008,-0.3576,0.9441,-0.2877
117,48829,107.3586,2.1631,-0.4007,0.9359,-0.2877
119,48829,114.8089,2.1022,-0.3585,0.9580,-0.2877
121,48829,129.8899,2.0127,-0.2965,0.9864,-0.2877
123,48829,122.3609,2.0534,-0.3247,0.9682,-0.2877
125,48829,122.4621,2.0530,-0.3244,0.9731,-0.2877
127,48829,137.7316,1.9786,-0.2729,1.0124,-0.2877
129,48828,122.6449,2.0509,-0.3229,0.9668,-0.2877
131,48828,107.3907,2.1637,-0.4012,0.9362,-0.2877
133,48828,107.3907,2.1637,-0.4012,0.9325,-0.2877
135,48828,122.5424,2.0528,-0.3243,0.9792,-0.2877
137,48828,137.8794,1.9779,-0.2724,1.0083,-0.2877
139,48828,122.6609,2.0525,-0.3241,0.9683,-0.2877
141,48828,99.9285,2.2413,-0.4549,0.9037,-0.2877
143,48828,122.4215,2.0531,-0.3245,0.9842,-0.2877
145,48828,122.3320,2.0529,-0.3243,0.9683,-0.2877
147,48828,122.3320,2.0529,-0.3243,0.9756,-0.2877
149,48828,107.1941,2.1644,-0.4016,0.9527,-0.2877
151,48828,99.9285,2.2413,-0.4549,0.9597,-0.2877
153,48828,115.1172,2.1011,-0.3577,0.9442,-0.2877
155,48828,130.2325,2.0115,-0.2956,0.9914,-0.2877
157,48828,114.7505,2.1036,-0.3595,0.9543,-0.2877
159,48828,145.3386,1.9495,-0.2527,1.0261,-0.2877
161,48828,130.3466,2.0111,-0.2954,0.9870,-0.2877
163,48828,114.6054,2.1037,-0.3596,0.9691,-0.2877
165,48828,122.3036,2.0535,-0.3248,0.9838,-0.2877
167,48828,137.5229,1.9789,-0.2731,1.0079,-0.2877
169,48828,137.8391,1.9783,-0.2726,1.0123,-0.2877
171,48828,114.8087,2.1029,-0.3590,0.9463,-0.2877
173,48828,107.3210,2.1638,-0.4012,0.9190,-0.2877
175,48828,130.2592,2.0119,-0.2960,0.9931,-0.2877
177,48828,114.8094,2.1022,-0.3585,0.9499,-0.2877
179,48828,114.8094,2.1022,-0.3585,0.9579,-0.2877
181,48828,99.9312,2.2416,-0.4552,0.9072,-0.2877
183,48828,129.7114,2.0135,-0.2970,0.9926,-0.2877
185,48828,122.5433,2.0523,-0.3239,0.9685,-0.2877
187,48828,130.2334,2.0118,-0.2959,0.9935,-0.2877
189,48828,122.3473,2.0531,-0.3245,0.9681,-0.2877
191,48828,129.9116,2.0132,-0.2968,0.9998,-0.2877
193,48828,115.3227,2.0988,-0.3561,0.9396,-0.2877
195,48828,115.3227,2.0988,-0.3561,0.9679,-0.2877
197,48828,107.3948,2.1644,-0.4016,0.9361,-0.2877
199,48828,122.7832,2.0507,-0.3228,0.9692,-0.2877
201,48828,107.7098,2.1609,-0.3992,0.9596,-0.2877
203,48828,115.1428,2.1011,-0.3578,0.9561,-0.2877
205,48828,107.3948,2.1644,-0.4016,0.9181,-0.2877
207,48828,130.3445,2.0111,-0.2954,0.9982,-0.2877
209,48828,122.3240,2.0537,-0.3249,0.9680,-0.2877
211,48828,122.3240,2.0537,-0.3249,0.9753,-0.2877
213,48828,92.2061,2.3489,-0.5295,0.8971,-0.2877
215,48828,122.6733,2.0519,-0.3236,0.9795,-0.2877
217,48828,114.8755,2.1020,-0.3584,0.9640,-0.2877
219,48828,122.6667,2.0525,-0.3241,0.9738,-0.2877
221,48828,122.3798,2.0522,-0.3239,0.9756,-0.2877
223,48828,130.1613,2.0117,-0.2958,0.9934,-0.2877
225,48828,137.8198,1.9783,-0.2726,1.0081,-0.2877
227,48828,92.2061,2.3489,-0.5295,0.9366,-0.2877
229,48828,115.0005,2.1020,-0.3584,0.9503,-0.2877
231,48828,130.1602,2.0121,-0.2961,0.9913,-0.2877
233,48828,122.4283,2.0534,-0.3247,0.9756,-0.2877
235,48828,130.2042,2.0115,-0.2956,0.9866,-0.2877
237,48828,107.1536,2.1648,-0.4019,0.9339,-0.2877
239,48828,145.6209,1.9492,-0.2525,1.0264,-0.2877
241,48828,107.1056,2.1650,-0.4020,0.9290,-0.2877
243,48828,122.4490,2.0528,-0.3243,0.9733,-0.2877
245,48828,107.1056,2.1650,-0.4020,0.9477,-0.2877
247,48828,114.7285,2.1035,-0.3594,0.9541,-0.2877
249,48828,122.5872,2.0527,-0.3242,0.9682,-0.2877
251,48828,137.6341,1.9783,-0.2726,1.0080,-0.2877
253,48828,122.4754,2.0528,-0.3243,0.9830,-0.2877
255,48828,137.8867,1.9782,-0.2726,1.0206,-0.2877
257,48828,115.1581,2.1006,-0.3574,0.9386,-0.2877
259,48828,122.9158,2.0500,-0.3223,0.9799,-0.2877
261,48828,99.7335,2.2430,-0.4561,0.9061,-0.2877
263,48828,130.4933,2.0106,-0.2950,0.9935,-0.2877
265,48828,122.4447,2.0525,-0.3241,0.9662,-0.2877
267,48828,115.1760,2.1004,-0.3573,0.9443,-0.2877
269,48828,107.3998,2.1626,-0.4004,0.9295,-0.2877
271,48828,114.9073,2.1025,-0.3587,0.9788,-0.2877
273,48828,107.3998,2.1626,-0.4004,0.9161,-0.2877
275,48828,130.0894,2.0119,-0.2959,0.9933,-0.2877
277,48828,99.8540,2.2406,-0.4545,0.9155,-0.2877
279,48828,114.9318,2.1016,-0.3581,0.9699,-0.2877
281,48828,122.3456,2.0541,-0.3252,0.9728,-0.2877
283,48828,137.8649,1.9778,-0.2723,1.0125,-0.2877
285,48828,122.5933,2.0523,-0.3240,0.9682,-0.2877
287,48828,122.4960,2.0523,-0.3240,0.9881,-0.2877
289,48828,107.3102,2.1631,-0.4007,0.9418,-0.2877
291,48828,114.6930,2.1032,-0.3592,0.9637,-0.2877
293,48828,114.6930,2.1032,-0.3592,0.9577,-0.2877
295,48828,122.5079,2.0534,-0.3247,0.9730,-0.2877
297,48828,130.0454,2.0126,-0.2964,0.9928,-0.2877
299,48828,122.2009,2.0546,-0.3256,0.9678,-0.2877
301,48828,99.8540,2.2406,-0.4545,0.9103,-0.2877
303,48828,130.2094,2.0112,-0.2954,0.9869,-0.2877
305,48828,114.8298,2.1031,-0.3592,0.9497,-0.2877
307,48828,114.8298,2.1031,-0.3592,0.9457,-0.2877
309,48828,107.2768,2.1633,-0.4009,0.9385,-0.2877
311,48828,130.2082,2.0117,-0.2958,0.9932,-0.2877
313,48828,129.9516,2.0130,-0.2967,0.9862,-0.2877
315,48828,107.1648,2.1647,-0.4019,0.9587,-0.2877
317,48828,114.5621,2.1045,-0.3601,0.9510,-0.2877
319,48828,137.9572,1.9775,-0.2721,1.0143,-0.2877
321,48828,107.2768,2.1633,-0.4009,0.9296,-0.2877
323,48828,122.4631,2.0532,-0.3245,0.9788,-0.2877
325,48828,114.7219,2.1025,-0.3587,0.9577,-0.2877
327,48828,137.7913,1.9778,-0.2723,1.0080,-0.2877
329,48828,122.3659,2.0536,-0.3249,0.9680,-0.2877
331,48828,114.7219,2.1025,-0.3587,0.9637,-0.2877
333,48828,122.2708,2.0535,-0.3247,0.9750,-0.2877
335,48828,129.7220,2.0137,-0.2972,0.9926,-0.2877
337,48828,130.1552,2.0124,-0.2963,0.9930,-0.2877
339,48828,137.9644,1.9780,-0.2725,1.0143,-0.2877
341,48828,84.4740,2.5086,-0.6402,0.9032,-0.2877
343,48828,114.8732,2.1012,-0.3578,0.9560,-0.2877
345,48828,114.8959,2.1019,-0.3583,0.9498,-0.2877
347,48828,122.4339,2.0531,-0.3245,0.9758,-0.2877
349,48828,107.4540,2.1626,-0.4004,0.9296,-0.2877
351,48828,122.7225,2.0519,-0.3236,0.9918,-0.2877
353,48828,122.5537,2.0520,-0.3237,0.9661,-0.2877
355,48828,107.3224,2.1632,-0.4008,0.9464,-0.2877
357,48828,107.3224,2.1632,-0.4008,0.9363,-0.2877
359,48828,137.6782,1.9782,-0.2726,1.0122,-0.2877
361,48828,115.0641,2.1015,-0.3580,0.9748,-0.2877
363,48828,122.5770,2.0526,-0.3241,0.9682,-0.2877
365,48828,122.2932,2.0536,-0.3248,0.9678,-0.2877
367,48828,122.4112,2.0540,-0.3251,0.9876,-0.2877
369,48828,99.8805,2.2418,-0.4553,0.9125,-0.2877
371,48828,114.8785,2.1023,-0.3586,0.9459,-0.2877
373,48828,99.8805,2.2418,-0.4553,0.9245,-0.2877
375,48828,122.6538,2.0529,-0.3243,0.9756,-0.2877
377,48828,137.9041,1.9773,-0.2719,1.0084,-0.2877
379,48828,122.5037,2.0528,-0.3243,0.9661,-0.2877
381,48828,115.0315,2.1010,-0.3577,0.9682,-0.2877
383,48828,130.3882,2.0115,-0.2957,1.0115,-0.2877
385,48828,115.0893,2.1007,-0.3575,0.9468,-0.2877
387,48828,107.5709,2.1621,-0.4000,0.9300,-0.2877
389,48828,115.0629,2.1000,-0.3570,0.9564,-0.2877
391,48828,107.5709,2.1621,-0.4000,0.9595,-0.2877
393,48828,122.2002,2.0534,-0.3247,0.9756,-0.2877
395,48828,122.4167,2.0523,-0.3239,0.9734,-0.2877
397,48828,99.7108,2.2441,-0.4569,0.9144,-0.2877
399,48828,114.9312,2.1021,-0.3585,0.9667,-0.2877
401,48828,107.6906,2.1604,-0.3989,0.9202,-0.2877
403,48828,107.6906,2.1604,-0.3989,0.9516,-0.2877
405,48828,99.7108,2.2441,-0.4569,0.9256,-0.2877
407,48828,115.1172,2.1013,-0.3579,0.9792,-0.2877
409,48828,115.1172,2.1013,-0.3579,0.9462,-0.2877
411,48828,130.1484,2.0120,-0.2960,0.9933,-0.2877
413,48828,130.0347,2.0121,-0.2961,0.9931,-0.2877
415,48828,137.6808,1.9786,-0.2729,1.0081,-0.2877
