residue,count,avg_stopping_time,max_stopping_time,avg_v2,avg_peak
1,195313,171.005,699,2,1.86147e+008
3,195313,171.052,694,1,2.10328e+008
5,195313,158.607,593,4,1.05227e+008
7,195313,183.424,694,1,2.1542e+009
9,195313,183.283,619,2,6.09719e+008
11,195313,171.02,593,1,2.85933e+008
13,195313,158.647,570,3,1.07568e+008
15,195313,171.071,593,1,6.82799e+008
17,195313,158.647,570,2,1.07568e+008
19,195313,183.264,611,1,7.85597e+008
21,195313,146.238,565,6,8.22757e+007
23,195313,171.01,578,1,2.72223e+008
25,195313,183.419,670,2,4.87387e+008
27,195313,208.348,670,1,4.60949e+009
29,195313,171.15,614,3,1.72789e+008
31,195313,195.943,671,1,5.08298e+009
33,195313,171.054,611,2,2.10404e+008
35,195313,158.685,578,1,1.46292e+008
37,195313,171.036,611,4,1.84702e+008
39,195313,183.207,678,1,5.48603e+008
41,195313,195.762,678,2,1.5854e+009
43,195313,170.901,624,1,2.27076e+008
45,195313,158.785,565,3,1.06046e+008
47,195313,195.882,619,1,1.74519e+009
49,195313,171.044,671,2,4.96539e+008
51,195313,171.044,671,1,5.28726e+008
53,195313,146.212,534,5,8.36256e+007
55,195313,195.951,671,1,1.97705e+009
57,195313,183.512,631,2,7.71281e+008
59,195313,170.839,601,1,2.3027e+008
61,195313,170.874,598,3,1.76737e+008
63,195313,195.777,681,1,1.73199e+009
65,195313,158.69,575,2,1.06675e+008
67,195313,171.184,618,1,2.0584e+008
69,195313,158.6,539,4,1.03066e+008
71,195313,195.74,612,1,1.4e+009
73,195313,183.327,576,2,5.88903e+008
75,195313,158.6,539,1,1.38819e+008
77,195313,170.864,588,3,1.73965e+008
79,195313,183.13,575,1,5.94527e+008
81,195313,183.192,624,2,5.24942e+008
83,195313,195.766,688,1,1.73862e+009
85,195313,133.829,456,8.99999,7.77513e+007
87,195313,171.184,702,1,2.61101e+008
89,195313,171.083,621,2,2.2703e+008
91,195313,195.499,702,1,1.67112e+009
93,195313,158.788,596,3,1.08821e+008
95,195313,183.45,615,1,1.02329e+009
97,195313,183.609,684,2,7.95334e+008
99,195313,158.671,538,1,1.42173e+008
101,195313,158.671,538,4,1.06448e+008
103,195313,208.387,689,1,4.31566e+009
105,195313,183.561,707,2,5.15829e+008
107,195313,183.686,637,1,5.59092e+008
109,195313,183.29,613,3,7.45821e+008
111,195313,195.658,707,1,1.27568e+009
113,195313,146.232,526,2,8.22741e+007
115,195313,171.091,632,1,1.98749e+008
117,195313,158.46,527,5,1.01923e+008
119,195313,170.967,565,1,2.95157e+008
121,195313,195.946,624,2,1.82749e+009
123,195313,183.237,633,1,4.35188e+008
125,195313,183.339,663,3,4.67908e+008
127,195313,208.492,693,1,6.39468e+009
129,195312,183.586,693,2,5.35726e+008
131,195312,158.604,557,1,1.42396e+008
133,195312,171.128,619,4,2.10373e+008
135,195312,171.062,650,1,5.76373e+008
137,195312,195.694,681,2,1.69526e+009
139,195312,183.533,681,1,5.29562e+008
141,195312,146.264,534,3,8.32962e+007
143,195312,183.36,704,1,5.91871e+008
145,195312,171.17,577,2,2.09724e+008
147,195312,171.17,577,1,2.41912e+008
149,195312,158.563,562,6,1.01062e+008
151,195312,158.794,544,1,1.99015e+008
153,195312,171.245,645,2,4.97361e+008
155,195312,196.029,660,1,1.59474e+009
157,195312,183.23,608,3,4.58635e+008
159,195312,208.343,689,1,3.99246e+009
161,195312,183.701,617,2,4.66693e+008
163,195312,170.974,601,1,2.11446e+008
165,195312,183.432,689,4,8.0192e+008
167,195312,195.737,689,1,1.33855e+009
169,195312,208.501,687,2,5.49396e+009
171,195312,183.589,701,1,5.81667e+008
173,195312,171.25,595,3,1.79748e+008
175,195312,183.437,619,1,2.47261e+009
177,195312,158.487,572,2,1.03989e+008
179,195312,158.487,572,1,1.39725e+008
181,195312,158.546,552,5,9.99826e+007
183,195312,183.248,612,1,5.60153e+008
185,195312,170.983,676,2,2.18072e+008
187,195312,183.565,676,1,9.0883e+008
189,195312,183.194,676,3,5.18453e+008
191,195312,208.376,733,1,7.63349e+009
193,195312,171.069,627,2,1.81866e+008
195,195312,183.575,691,1,4.84984e+008
197,195312,146.226,539,4,8.49618e+007
199,195312,183.39,703,1,7.18483e+008
201,195312,171.309,632,2,2.24178e+008
203,195312,171.128,673,1,5.29552e+008
205,195312,158.501,570,3,1.04674e+008
207,195312,195.857,673,1,1.60399e+009
209,195312,170.966,600,2,1.81853e+008
211,195312,183.394,600,1,5.52129e+008
213,195312,146.22,513,7,8.33335e+007
215,195312,183.455,629,1,7.79214e+008
217,195312,158.518,539,2,1.12726e+008
219,195312,183.538,614,1,5.13683e+008
221,195312,170.642,614,3,1.81095e+008
223,195312,195.853,675,1,1.46343e+009
225,195312,195.78,690,2,1.44162e+009
227,195312,146.22,513,1,1.20264e+008
229,195312,170.814,616,4,7.95655e+008
231,195312,195.817,694,1,1.54431e+009
233,195312,195.796,658,2,2.98615e+009
235,195312,195.88,640,1,1.56873e+009
237,195312,170.614,640,3,4.88548e+008
239,195312,208.421,743,1,3.66233e+009
241,195312,158.473,531,2,1.02258e+008
243,195312,183.269,642,1,1.07717e+009
245,195312,170.977,559,5,1.71824e+008
247,195312,183.16,639,1,9.29618e+008
249,195312,183.197,641,2,9.09359e+008
251,195312,195.661,640,1,1.84991e+009
253,195312,196.071,686,3,1.70304e+009
255,195312,221.179,694,1,2.00381e+010
