residue,count,avg_stopping_time,max_stopping_time,avg_v2,avg_peak
1,781250,171.087,699,2,2.52603e+008
3,781250,171.103,694,1,2.60887e+008
5,781250,158.64,619,4,1.25907e+008
7,781250,183.404,703,1,1.21226e+009
9,781250,183.403,681,2,7.79515e+008
11,781250,171.07,681,1,3.70966e+008
13,781250,158.569,588,3,1.17376e+008
15,781250,183.355,704,1,8.68296e+008
17,781250,170.994,624,2,2.56022e+008
19,781250,183.398,688,1,8.29565e+008
21,781250,146.213,565,7,8.61056e+007
23,781250,171.111,702,1,3.77888e+008
25,781250,171.066,670,2,3.31126e+008
27,781250,195.853,702,1,2.09726e+009
29,781250,170.953,614,3,2.30335e+008
31,781250,195.897,689,1,2.89054e+009
33,781250,183.536,690,2,7.28513e+008
35,781250,158.637,601,1,1.55044e+008
37,781250,170.988,689,4,4.7218e+008
39,781250,195.787,694,1,1.93678e+009
41,781250,195.905,707,2,2.64533e+009
43,781250,183.514,701,1,7.3414e+008
45,781250,170.985,640,3,3.80041e+008
47,781250,195.85,743,1,2.28895e+009
49,781250,158.559,671,2,1.96265e+008
51,781250,170.973,671,1,4.86093e+008
53,781250,158.549,559,5,1.14339e+008
55,781250,183.331,671,1,9.40494e+008
57,781250,183.41,676,2,9.31553e+008
59,781250,183.326,676,1,8.56047e+008
61,781250,183.37,686,3,7.16535e+008
63,781250,208.456,733,1,8.94954e+009
